Postazione;Codice Faldone;Codice Scatola;Numero Documenti;Data Registrazione;
coop\elisa.scappini;X650289775;S651419782;152;26/02/2026 17:52:00;
coop\elisa.scappini;X650289459;S651426002;755;26/02/2026 14:30:55;
coop\elisa.scappini;X650289552;S651426002;800;26/02/2026 14:30:55;
coop\elisa.scappini;X650289553;S651426002;734;26/02/2026 14:30:55;
coop\elisa.scappini;X650289554;S651426002;800;26/02/2026 14:30:55;
coop\elisa.scappini;X650289555;S651426002;800;26/02/2026 14:30:55;
coop\elisa.scappini;X650288984;S651445238;760;26/02/2026 14:33:02;
coop\elisa.scappini;X650289548;S651445238;795;26/02/2026 14:33:02;
coop\elisa.scappini;X650289549;S651445238;800;26/02/2026 14:33:02;
coop\elisa.scappini;X650289550;S651445238;800;26/02/2026 14:33:02;
coop\elisa.scappini;X650289551;S651445238;800;26/02/2026 14:33:02;
coop\elisa.scappini;X650289560;S651445245;800;26/02/2026 14:34:45;
coop\elisa.scappini;X650289561;S651445245;709;26/02/2026 14:34:45;
coop\elisa.scappini;X650289562;S651445245;715;26/02/2026 14:34:45;
coop\elisa.scappini;X650289563;S651445245;800;26/02/2026 14:34:45;
coop\elisa.scappini;X650289564;S651445245;961;26/02/2026 14:34:45;
coop\elisa.scappini;X650289776;S651445870;800;26/02/2026 17:45:25;
coop\elisa.scappini;X650289792;S651445870;800;26/02/2026 17:45:25;
coop\elisa.scappini;X650289793;S651445870;980;26/02/2026 17:45:25;
coop\elisa.scappini;X650289794;S651445870;823;26/02/2026 17:45:25;
coop\elisa.scappini;X650289795;S651445870;590;26/02/2026 17:45:25;
coop\jessica.fiorini;X600289681;S601444629;80;26/02/2026 16:11:50;
coop\jessica.fiorini;X600289684;S601444629;80;26/02/2026 16:11:50;
coop\jessica.fiorini;X600289687;S601444629;76;26/02/2026 16:11:50;
coop\jessica.fiorini;X600289689;S601444629;77;26/02/2026 16:11:50;
coop\jessica.fiorini;X600289694;S601444629;57;26/02/2026 16:11:50;
coop\jessica.fiorini;X600289668;S601445677;80;26/02/2026 16:47:30;
coop\jessica.fiorini;X600289673;S601445677;80;26/02/2026 16:47:30;
coop\jessica.fiorini;X600289675;S601445677;80;26/02/2026 16:47:30;
coop\jessica.fiorini;X600289678;S601445677;80;26/02/2026 16:47:30;
coop\jessica.fiorini;X600289680;S601445677;80;26/02/2026 16:47:30;
coop\jessica.fiorini;X600289659;S601445679;80;26/02/2026 16:15:46;
coop\jessica.fiorini;X600289662;S601445679;78;26/02/2026 16:15:46;
coop\jessica.fiorini;X600289663;S601445679;80;26/02/2026 16:15:46;
coop\jessica.fiorini;X600289664;S601445679;78;26/02/2026 16:15:46;
coop\jessica.fiorini;X600289667;S601445679;79;26/02/2026 16:15:46;
coop\jessica.fiorini;X600289476;S601445680;80;26/02/2026 16:19:31;
coop\jessica.fiorini;X600289649;S601445680;79;26/02/2026 16:19:31;
coop\jessica.fiorini;X600289651;S601445680;80;26/02/2026 16:19:31;
coop\jessica.fiorini;X600289654;S601445680;80;26/02/2026 16:19:31;
coop\jessica.fiorini;X600289656;S601445680;80;26/02/2026 16:19:31;
coop\jessica.fiorini;X610289734;S611444682;711;26/02/2026 17:06:08;
coop\jessica.fiorini;X610289735;S611444682;849;26/02/2026 17:06:08;
coop\jessica.fiorini;X610289736;S611444682;734;26/02/2026 17:06:08;
coop\jessica.fiorini;X610289737;S611444682;200;26/02/2026 17:06:08;
coop\jessica.fiorini;X610289738;S611444682;200;26/02/2026 17:06:08;
coop\jessica.fiorini;X610290021;S611445782;800;26/02/2026 20:15:18;
coop\jessica.fiorini;X610290022;S611445782;800;26/02/2026 20:15:18;
coop\jessica.fiorini;X610290023;S611445782;800;26/02/2026 20:15:18;
coop\jessica.fiorini;X610290024;S611445782;800;26/02/2026 20:15:18;
coop\jessica.fiorini;X610290025;S611445782;800;26/02/2026 20:15:18;
coop\jessica.fiorini;X610290016;S611446637;600;26/02/2026 20:18:40;
coop\jessica.fiorini;X610290017;S611446637;600;26/02/2026 20:18:40;
coop\jessica.fiorini;X610290018;S611446637;600;26/02/2026 20:18:40;
coop\jessica.fiorini;X610290019;S611446637;600;26/02/2026 20:18:40;
coop\jessica.fiorini;X610290020;S611446637;600;26/02/2026 20:18:40;
coop\jessica.fiorini;X610290011;S611446638;800;26/02/2026 20:27:33;
coop\jessica.fiorini;X610290012;S611446638;600;26/02/2026 20:27:33;
coop\jessica.fiorini;X610290013;S611446638;600;26/02/2026 20:27:33;
coop\jessica.fiorini;X610290014;S611446638;600;26/02/2026 20:27:33;
coop\jessica.fiorini;X610290015;S611446638;600;26/02/2026 20:27:33;
coop\jessica.fiorini;X610289978;S611446639;800;26/02/2026 20:36:23;
coop\jessica.fiorini;X610289979;S611446639;800;26/02/2026 20:36:23;
coop\jessica.fiorini;X610289982;S611446639;800;26/02/2026 20:36:23;
coop\jessica.fiorini;X610289983;S611446639;800;26/02/2026 20:36:23;
coop\jessica.fiorini;X610289986;S611446639;800;26/02/2026 20:36:23;
coop\jessica.fiorini;X610289963;S611446640;800;26/02/2026 20:39:02;
coop\jessica.fiorini;X610289965;S611446640;800;26/02/2026 20:39:02;
coop\jessica.fiorini;X610289969;S611446640;800;26/02/2026 20:39:02;
coop\jessica.fiorini;X610289971;S611446640;600;26/02/2026 20:39:02;
coop\jessica.fiorini;X610289975;S611446640;600;26/02/2026 20:39:02;
coop\jessica.fiorini;X610289953;S611446641;800;26/02/2026 20:42:29;
coop\jessica.fiorini;X610289954;S611446641;800;26/02/2026 20:42:29;
coop\jessica.fiorini;X610289955;S611446641;800;26/02/2026 20:42:29;
coop\jessica.fiorini;X610289960;S611446641;800;26/02/2026 20:42:29;
coop\jessica.fiorini;X610289962;S611446641;800;26/02/2026 20:42:29;
coop\jessica.fiorini;X610290006;S611446642;600;26/02/2026 20:52:37;
coop\jessica.fiorini;X610290007;S611446642;600;26/02/2026 20:52:37;
coop\jessica.fiorini;X610290008;S611446642;600;26/02/2026 20:52:37;
coop\jessica.fiorini;X610290009;S611446642;600;26/02/2026 20:52:37;
coop\jessica.fiorini;X610290010;S611446642;600;26/02/2026 20:52:37;
coop\jessica.fiorini;X610290001;S611446643;600;26/02/2026 20:57:16;
coop\jessica.fiorini;X610290002;S611446643;600;26/02/2026 20:57:16;
coop\jessica.fiorini;X610290003;S611446643;600;26/02/2026 20:57:16;
coop\jessica.fiorini;X610290004;S611446643;800;26/02/2026 20:57:16;
coop\jessica.fiorini;X610290005;S611446643;600;26/02/2026 20:57:16;
coop\jessica.fiorini;X610289987;S611446644;800;26/02/2026 21:03:59;
coop\jessica.fiorini;X610289992;S611446644;939;26/02/2026 21:03:59;
coop\jessica.fiorini;X610289994;S611446644;600;26/02/2026 21:03:59;
coop\jessica.fiorini;X610289999;S611446644;600;26/02/2026 21:03:59;
coop\jessica.fiorini;X610290000;S611446644;600;26/02/2026 21:03:59;
coop\jessica.fiorini;X610289945;S611446645;800;26/02/2026 21:06:01;
coop\jessica.fiorini;X610289947;S611446645;800;26/02/2026 21:06:01;
coop\jessica.fiorini;X610289948;S611446645;800;26/02/2026 21:06:01;
coop\jessica.fiorini;X610289950;S611446645;800;26/02/2026 21:06:01;
coop\jessica.fiorini;X610289952;S611446645;800;26/02/2026 21:06:01;
coop\jessica.fiorini;X610289935;S611446646;800;26/02/2026 21:11:30;
coop\jessica.fiorini;X610289937;S611446646;800;26/02/2026 21:11:30;
coop\jessica.fiorini;X610289938;S611446646;800;26/02/2026 21:11:30;
coop\jessica.fiorini;X610289940;S611446646;800;26/02/2026 21:11:30;
coop\jessica.fiorini;X610289942;S611446646;800;26/02/2026 21:11:30;
coop\jessica.fiorini;X610289739;S611446775;800;26/02/2026 21:15:10;
coop\jessica.fiorini;X610289929;S611446775;800;26/02/2026 21:15:10;
coop\jessica.fiorini;X610289930;S611446775;800;26/02/2026 21:15:10;
